PostingID,Title,Company,Location,Summary,Link,Description
1,2019 - Technology Internship (Computer Science & Finance),T-Mobile,"Bellevue, WA",Nice to have data visualization experience. The analyst will need to be able to interpret the solution output and articulate how and why the results were...,https://www.indeed.com/rc/clk?jk=1152fbde48385a26&fccid=d124dbfd3785b597&vjs=3,Nice to have data visualization experience. The analyst will need to be able to interpret the solution output and articulate how and why the results were...
2,2019 PhD Data Scientist Internship - Research & Economics,Uber,"San Francisco, CA","Strong data skills and the ability to learn to use tools such as SQL, Python, R, and GIS mapping tools to work efficiently at scale....",https://www.indeed.com/rc/clk?jk=61bdc7ea7dfeeb1f&fccid=f766f8bfbc3effb7&vjs=3,"Strong data skills and the ability to learn to use tools such as SQL, Python, R, and GIS mapping tools to work efficiently at scale...."
3,2019 PhD Data Scientist Internship - Rides,Uber,"San Francisco, CA","Work with your mentor closely to scope a project, define the problem, and develop and prototype the solution....",https://www.indeed.com/rc/clk?jk=78dd271e7cdd2075&fccid=f766f8bfbc3effb7&vjs=3,"Work with your mentor closely to scope a project, define the problem, and develop and prototype the solution...."
4,2019 PhD University Graduate - Data Scientist - Forecasting...,Uber,"San Francisco, CA",Deep knowledge of statistical principles and Machine Learning methods. Partner with experienced scientists and engineers in building first-class products....,https://www.indeed.com/rc/clk?jk=1087832a7b933214&fccid=f766f8bfbc3effb7&vjs=3,Deep knowledge of statistical principles and Machine Learning methods. Partner with experienced scientists and engineers in building first-class products....
5,2019 University Graduate - Data Scientist - Research & Econo...,Uber,"San Francisco, CA","Strong data skills and experience with tools such as SQL, Python, and R to work efficiently at scale. Manage relationships with our outside research partners to...",https://www.indeed.com/rc/clk?jk=e2ee8173756a5d9c&fccid=f766f8bfbc3effb7&vjs=3,"Strong data skills and experience with tools such as SQL, Python, and R to work efficiently at scale. Manage relationships with our outside research partners to..."
6,2019 University Graduate - Data Scientist - Rides,Uber,"San Francisco, CA","We?re looking for Data Scientists to contribute to Rides Data Science, which encompasses all teams responsible for working on moving people from A B....",https://www.indeed.com/rc/clk?jk=eada4bcc3fa92fc0&fccid=f766f8bfbc3effb7&vjs=3,"We?re looking for Data Scientists to contribute to Rides Data Science, which encompasses all teams responsible for working on moving people from A B...."
7,2019 University Graduate - Data Scientist - UberEverything (...,Uber,"New York, NY","To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",https://www.indeed.com/rc/clk?jk=3c78a6a631c05f48&fccid=f766f8bfbc3effb7&vjs=3,"To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app..."
8,5056 Data Scientist,Fanatics Inc.,"San Mateo, CA","Experience developing machine learning, NLP and statistical models for real-world problems using ML algorithms/packages, R, Python or other machine learning...",https://www.indeed.com/rc/clk?jk=69c1010a867648d4&fccid=316c778b7bc10b48&vjs=3,"Experience developing machine learning, NLP and statistical models for real-world problems using ML algorithms/packages, R, Python or other machine learning..."
9,AI Associate - Data Scientist,Penn State University,"University Park, PA",Strong consideration will be given to candidates who can present a successful project in machine learning that demonstrates the ability to create and train end...,https://www.indeed.com/rc/clk?jk=998c84bf1756c357&fccid=ee32437d8dec00bd&vjs=3,Strong consideration will be given to candidates who can present a successful project in machine learning that demonstrates the ability to create and train end...
10,AI Associate - Data Scientist,Penn State University,"University Park, PA",Strong consideration will be given to candidates who can present a successful project in machine learning that demonstrates the ability to create and train end...,https://www.indeed.com/rc/clk?jk=998c84bf1756c357&fccid=ee32437d8dec00bd&vjs=3,Strong consideration will be given to candidates who can present a successful project in machine learning that demonstrates the ability to create and train end...
11,AI Data Scientist (PS20719),"Anthem, Inc.",,"At Anthem, Inc., it?s a powerful combination, and the foundation upon which we?re creating greater access to care for our members, greater value for our...",https://www.indeed.com/rc/clk?jk=a71f1d0146446cdc&fccid=2a4da7fa99f4b9ae&vjs=3,"At Anthem, Inc., it?s a powerful combination, and the foundation upon which we?re creating greater access to care for our members, greater value for our..."
12,AI Engineering - Machine Learning Engineer,JP Morgan Chase,"New York, NY","Research and implement deep learning, machine learning and statistical approaches to solve business problems....",https://www.indeed.com/rc/clk?jk=3c1003b2dcbe937b&fccid=c46d0116f6e69eae&vjs=3,"Research and implement deep learning, machine learning and statistical approaches to solve business problems...."
13,Algorithm & Machine Learning Engineer,Comcast,"New York, NY","We power the technology, data enablement, and convergent marketplaces required to ensure buyers and sellers can transact across all screens, across all data...",https://www.indeed.com/rc/clk?jk=fd5e4a61b33a7f6a&fccid=ea25315ee9da22e5&vjs=3,"We power the technology, data enablement, and convergent marketplaces required to ensure buyers and sellers can transact across all screens, across all data..."
14,"Analyst, Data Management & Quantitative Analysis",BNY Mellon,"Oriskany, NY","Awareness of various coding languages R, Python, Java, Excel, Alteryx, SQL, Tableau, Java, etc. Process Improvement / Process Automation....",https://www.indeed.com/rc/clk?jk=d973d01286e3db3b&fccid=b4048be2884af072&vjs=3,"Awareness of various coding languages R, Python, Java, Excel, Alteryx, SQL, Tableau, Java, etc. Process Improvement / Process Automation...."
15,"Analyst, Insights & Analytics","Starz Entertainment, LLC","New York, NY","Work closely with other members of Insights & Analytics team to join data sources across verticals, creating a holistic understanding of customers and how they...",https://www.indeed.com/rc/clk?jk=3b2de75fbf7a25fd&fccid=432f1d5b64e0054c&vjs=3,"Work closely with other members of Insights & Analytics team to join data sources across verticals, creating a holistic understanding of customers and how they..."
16,"Analyst, Marketing Analytics",Casper,"New York, NY","1-3 years of experience as a Data Analyst, Data Scientist or Management Consultant, preferably at an e-commerce brand with a high volume of complex data....",https://www.indeed.com/rc/clk?jk=b6657fb771d8a236&fccid=34cc52740e2971c2&vjs=3,"1-3 years of experience as a Data Analyst, Data Scientist or Management Consultant, preferably at an e-commerce brand with a high volume of complex data...."
17,Analytical Scientist,EPM Scientific,"New York, NY","You will be working collaboratively with other driven scientists to develop, qualify, and validate analytical methods; R&D Scientist | Analytical R&D*....",https://www.indeed.com/company/EPM-Scientific/jobs/Analytical-Scientist-ec26f66c1387b49e?fccid=aba1365603260499&vjs=3,"You will be working collaboratively with other driven scientists to develop, qualify, and validate analytical methods; R&D Scientist | Analytical R&D*...."
18,"Apple Podcasts Data Scientist, Apple Media Products Data Sci...",Apple,"Santa Clara Valley, CA",Dive deep into large-scale data to uncover trends and identify key insights that will propel the Apple Podcasts product and content strategy....,https://www.indeed.com/rc/clk?jk=94f4d0adace7aabe&fccid=c1099851e9794854&vjs=3,Dive deep into large-scale data to uncover trends and identify key insights that will propel the Apple Podcasts product and content strategy....
19,"Apple Podcasts Data Scientist, Apple Media Products Data Sci...",Apple,"Santa Clara Valley, CA",Dive deep into large-scale data to uncover trends and identify key insights that will propel the Apple Podcasts product and content strategy....,https://www.indeed.com/rc/clk?jk=94f4d0adace7aabe&fccid=c1099851e9794854&vjs=3,Dive deep into large-scale data to uncover trends and identify key insights that will propel the Apple Podcasts product and content strategy....
20,Applied Performance Scientist,Penn State University,"University Park, PA","Support all Penn State sports as it pertains to Performance technology set up, data collection and data analysis as directed by Assistant AD for Applied Health...",https://www.indeed.com/rc/clk?jk=ed64636e6a93ed80&fccid=ee32437d8dec00bd&vjs=3,"Support all Penn State sports as it pertains to Performance technology set up, data collection and data analysis as directed by Assistant AD for Applied Health..."
21,Applied Performance Scientist,Penn State University,"University Park, PA","Support all Penn State sports as it pertains to Performance technology set up, data collection and data analysis as directed by Assistant AD for Applied Health...",https://www.indeed.com/rc/clk?jk=ed64636e6a93ed80&fccid=ee32437d8dec00bd&vjs=3,"Support all Penn State sports as it pertains to Performance technology set up, data collection and data analysis as directed by Assistant AD for Applied Health..."
22,"Associate Analyst, Content Promotion",Spotify,"New York, NY","The Associate Analyst will support the Content team in executing those campaigns, and work with data scientists to ensure our decisions are rooted in robust...",https://www.indeed.com/rc/clk?jk=1425f51f65657f57&fccid=fe404d18bb9eef1e&vjs=3,"The Associate Analyst will support the Content team in executing those campaigns, and work with data scientists to ensure our decisions are rooted in robust..."
23,Associate Data Scientist,S&P Global Ratings,"New York, NY","You will work closely with other senior scientists to create state of the art Augmented Intelligence, Data Science and Machine Learning solutions....",https://www.indeed.com/rc/clk?jk=8ae8cc1fc8774558&fccid=b6cbe54d4f54ff6d&vjs=3,"You will work closely with other senior scientists to create state of the art Augmented Intelligence, Data Science and Machine Learning solutions...."
24,Associate Data Scientist,S&P Global Ratings,"New York, NY","You will work closely with other senior scientists to create state of the art Augmented Intelligence, Data Science and Machine Learning solutions....",https://www.indeed.com/rc/clk?jk=8ae8cc1fc8774558&fccid=b6cbe54d4f54ff6d&vjs=3,"You will work closely with other senior scientists to create state of the art Augmented Intelligence, Data Science and Machine Learning solutions...."
25,Associate Data Scientist,Viacom,"New York, NY","In this role, you will join an exciting new department at Viacom (Content Innovation Analytics ) that touches all of the hottest topics in the TV research...",https://www.indeed.com/rc/clk?jk=52017b66160e5f3e&fccid=ae0c894528aa6eee&vjs=3,"In this role, you will join an exciting new department at Viacom (Content Innovation Analytics ) that touches all of the hottest topics in the TV research..."
26,Associate Data Scientist,Extra Space Storage,"Salt Lake City, UT","Ability to manage large data sets, synthesize and communicate findings. You will lead and manage various market research studies and other ad-hoc data analyses....",https://www.indeed.com/rc/clk?jk=e04cbd8a95daeb8a&fccid=5732ce1346d3cc12&vjs=3,"Ability to manage large data sets, synthesize and communicate findings. You will lead and manage various market research studies and other ad-hoc data analyses...."
27,Associate Data Scientist,Walmart Stores,"Bruno, AR","Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects....",https://www.indeed.com/rc/clk?jk=6f2b2085323942f0&fccid=822bc5d9a49270ea&vjs=3,"Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects...."
28,Associate Data Scientist,Walmart eCommerce,"Bruno, AR","Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects....",https://www.indeed.com/rc/clk?jk=3e57230eea039a79&fccid=8c49e99f20f89e48&vjs=3,"Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects...."
29,Associate Data Scientist,Paypal,"San Jose, CA",Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques....,https://www.indeed.com/rc/clk?jk=d3fdab6657eab547&fccid=978d9fd9799d55a8&vjs=3,Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques....
30,Associate Data Scientist,Darden,"Orlando, FL","Bachelor's degree in Data Science, Business Analytics, Statistics, Economics, Applied Mathematics, Computer Science, Management Information Systems or a related...",https://www.indee,"Bachelor's degree in Data Science, Business Analytics, Statistics, Economics, Applied Mathematics, Computer Science, Management Information Systems or a related..."
31,Associate Data Scientist,Paypal,"San Jose, CA",Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques....,https://www.indeed.com/rc/clk?jk=d3fdab6657eab547&fccid=978d9fd9799d55a8&vjs=3,Collaborate with other data scientists and engineers to formulate innovative solutions to experiment and implement advanced data mining techniques....
32,Associate Data Scientist,IQVIA,"Plymouth Meeting, PA","Postgraduate degree or higher involving statistics, machine learning, or computer science OR 2+ years of commercial experience involving machine learning or...",https://www.indeed.com/rc/clk?jk=351f1fff1ef9a6c0&fccid=6b7a1dfe07e7f037&vjs=3,"Postgraduate degree or higher involving statistics, machine learning, or computer science OR 2+ years of commercial experience involving machine learning or..."
33,Associate Data Scientist,Walmart eCommerce,"Bruno, AR","Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects....",https://www.indeed.com/rc/clk?jk=3e57230eea039a79&fccid=8c49e99f20f89e48&vjs=3,"Certificate in business analytics, data mining, or statistical analysis. Analyzes data to drive analytics projects...."
34,Associate Data Scientist - NYC Headquarters,Unified Enterprise Corp,"New York, NY","As an Associate Data Scientist, you will derive impactful insights from data to drive intelligence for Unified and it?s clients....",https://www.indeed.com/rc/clk?jk=5db5ba08ee1b537a&fccid=ebcd3403b60979fe&vjs=3,"As an Associate Data Scientist, you will derive impactful insights from data to drive intelligence for Unified and it?s clients...."
35,Associate Data Scientist - NYC Headquarters,Unified Enterprise Corp,"New York, NY","As an Associate Data Scientist, you will derive impactful insights from data to drive intelligence for Unified and it?s clients....",https://www.indeed.com/rc/clk?jk=5db5ba08ee1b537a&fccid=ebcd3403b60979fe&vjs=3,"As an Associate Data Scientist, you will derive impactful insights from data to drive intelligence for Unified and it?s clients...."
36,"Associate Data Scientist or Data Scientist, Evidence for Acc...",Genentech,"South San Francisco, CA",Support principal/senior TI data scientists to design and execute retrospective observational studies for Health Economics and Outcomes Research (HEOR) and...,https://www.indeed.com/rc/clk?jk=5d92f385bdf135a5&fccid=2525cc4a9a704809&vjs=3,Support principal/senior TI data scientists to design and execute retrospective observational studies for Health Economics and Outcomes Research (HEOR) and...
37,"Associate, Data Scientist Natural Language Processing",KPMG,"New York, NY",Minimum of two years of prior experience working in teams of data & analytics professionals to deliver on business-driven analytics projects using natural...,https://www.indeed.com/rc/clk?jk=1660e9ca722c6738&fccid=2dd390c3a48a7ed0&vjs=3,Minimum of two years of prior experience working in teams of data & analytics professionals to deliver on business-driven analytics projects using natural...
38,"Associate, Data Scientist Natural Language Processing",KPMG,"New York, NY",Minimum of two years of prior experience working in teams of data & analytics professionals to deliver on business-driven analytics projects using natural...,https://www.indeed.com/rc/clk?jk=1660e9ca722c6738&fccid=2dd390c3a48a7ed0&vjs=3,Minimum of two years of prior experience working in teams of data & analytics professionals to deliver on business-driven analytics projects using natural...
39,"Associate, Quantitative Financial Analyst",Bank of America,"New York, NY",The team covers development and maintenance of pricing models and implementation in the analytics platform as well as their delivery and support across the...,https://www.indeed.com/rc/clk?jk=ef7ebd295d6f5fca&fccid=5bd99dfa21c8a490&vjs=3,The team covers development and maintenance of pricing models and implementation in the analytics platform as well as their delivery and support across the...
40,Behavioral Data Scientist,Uber,"San Francisco, CA","Uber Labs data scientists form cross-functional partnerships with product, marketing, and data science teams across the business to bring insights and methods...",https://www.indeed.com/rc/clk?jk=73c1be8fe9b49e3f&fccid=f766f8bfbc3effb7&vjs=3,"Uber Labs data scientists form cross-functional partnerships with product, marketing, and data science teams across the business to bring insights and methods..."
41,Behavioral Data Scientist - Ipsos Behavioral Data Group,Ipsos North America,"New York, NY",This data scientist should have a deep curiosity to explore these data sets and uncover insights through novel analytical methods....,https://www.indeed.com/rc/clk?jk=db62bebdc5f7d130&fccid=d73294b71d7f0354&vjs=3,This data scientist should have a deep curiosity to explore these data sets and uncover insights through novel analytical methods....
42,Behavioral Scientist,"Transform, Inc.","Seattle, WA","Behavioral Scientists are crucial to Transform. Collaborate with Engineering, particularly data science, machine learning and natural language processing...",https://www.indeed.com/rc/clk?jk=e3c45567e96c0258&fccid=18690cc943513de7&vjs=3,"Behavioral Scientists are crucial to Transform. Collaborate with Engineering, particularly data science, machine learning and natural language processing..."
